qid,query,word_count,length_bin
302,ما هي غينيا البرتغالية؟,4,Medium (4-8)
306,من هو هارولد لويد؟,4,Medium (4-8)
308,متى تأسست جامعة إدنبرة؟,4,Medium (4-8)
315,أين عاش  الإمام الحافظ إمام بيروت  أبو عمرو عبدُ الرحمٰن بن عمرو بن يُحمد الأوزاعي؟,15,Long (9+)
324,ما هي الليبرالية الاجتماعية؟,4,Medium (4-8)
327,هل يتم استخدام الطاقة النووية في الامارات؟,7,Medium (4-8)
354,متى توفي ليوناردو دا فينشي؟,5,Medium (4-8)
355,متى تاسست منظمة العمل الدولية؟,5,Medium (4-8)
356,أين تقع ولاية ميريلاند؟,4,Medium (4-8)
363,ماهى أثمن لوحة فنية في العالم حالياً ؟,8,Medium (4-8)
364,متي توفي المغني فريدي ميركوري ؟,6,Medium (4-8)
368,متى بدأت شركة امازون بتقديم خدمة الحوسبة السحابية ؟,9,Long (9+)
370,من إخترع الحاسب الآلي ؟,5,Medium (4-8)
371,هل يمكن التبرع بأي عضو من الأعضاء ؟,8,Medium (4-8)
377,ما هو بنك الدم ؟,5,Medium (4-8)
378,من هي ثاني أكبر دول أوروبا الشرقية؟,7,Medium (4-8)
385,متى تاسست جامعة كامبردج؟,4,Medium (4-8)
405,في أي عام تأسس حزب الدستور المصري؟,7,Medium (4-8)
416,في أي عام تم اكتشاف قارة أمريكا؟,7,Medium (4-8)
419,ما هي اكبر صحراء في السعودية ؟,7,Medium (4-8)
423,ما هو مضاد البروتون؟,4,Medium (4-8)
431,من هو جورج فيلهلم فريدريش هيغل؟,6,Medium (4-8)
434,اين توجد قناة فالوب؟,4,Medium (4-8)
435,في أي عام تأسس حلف شمال الأطلسي؟,7,Medium (4-8)
437,"متى تم إطلاق مسبار"" إنسايت"" إلى المريخ ؟",8,Medium (4-8)
440,ما هي المَثَانةُ؟,3,Short (1-3)
446,من هي إيزيس؟,3,Short (1-3)
449,في أي عام نشأ مجلس الشيوخ الروماني؟,7,Medium (4-8)
455,متى إنتهت الحرب العالمية الثانية ؟,6,Medium (4-8)
459,ما هو ورم الرشاشيات؟,4,Medium (4-8)
462,من هو خير الدين بربروس ؟,6,Medium (4-8)
466,متى تأسست مملكة الأندلس ؟,5,Medium (4-8)
471,ما هي المركبات الفضائية المؤهولة ؟,6,Medium (4-8)
478,هل تعد اثيوبيا من الدول العربية؟,6,Medium (4-8)
485,في أي عصر بنيت قلعة مصياف؟,6,Medium (4-8)
492,من هو ماركوس أوريليوس ؟,5,Medium (4-8)
497,كم مرة السعي بين الصَّفَا والمَرْوَةُ في مناسك الحج؟,9,Long (9+)
519,ما هي حرب البسوس ؟,5,Medium (4-8)
520,ماهى الذبحة الصدرية ؟,4,Medium (4-8)
521,ما هي السِبرانية؟,3,Short (1-3)
522,ما المغذّيات المساعدة على تقوية العظام بجسم الإنسان؟,8,Medium (4-8)
551,ما هو موقع معسكر أوشفيتز بيركينو ؟,7,Medium (4-8)
555,متي تم عرض مسلسل جيسيكا جونز ؟,7,Medium (4-8)
561,ما هي عاصمة أثيوبيا؟,4,Medium (4-8)
564,من هم أشباه البشر؟,4,Medium (4-8)
570,أين ولد بابلو إميليو إسكوبار ؟,6,Medium (4-8)
572,ما هي المثلية الجنسية ؟,5,Medium (4-8)
578,ماهى الخاطرة الرومانسية ؟,4,Medium (4-8)
581,متى بدأت الخلافة العباسية؟,4,Medium (4-8)
595,ما هو اصل الددانيون؟,4,Medium (4-8)
597,ما الرمز الكيميائي للآزوت؟,4,Medium (4-8)
605,أين يقع جبل أبي قبيس؟,5,Medium (4-8)
606,متى  توج النادي الرياضي الصفاقسي بالدوري التونسي لكرة القدم لأول مرة؟,11,Long (9+)
611,اين توجد مدينة تالين؟,4,Medium (4-8)
618,أين كان يقع إقليم حضرموت جغرافياً؟,6,Medium (4-8)
629,متى تأسست الجمعية الوطنية العليا في تركيا ؟,8,Medium (4-8)
632,أين ولد ابن تيمية؟,4,Medium (4-8)
634,ما ارتفاع هرم خوفو؟,4,Medium (4-8)
636,ما عدد طبقات الغلاف الجوي ؟,6,Medium (4-8)
639,متى ولد ياقوت الحموي؟,4,Medium (4-8)
649,من سجل أهداف إنتصار تونس على  المكسيك في  كأس العالم لكرة القدم 1978؟,13,Long (9+)
657,أين تقع مدينة الحامول؟,4,Medium (4-8)
660,ما هو المذهب الحنفي ؟,5,Medium (4-8)
689,من هو صلاح شحادة؟,4,Medium (4-8)
696,من هو مؤسس العقيدة الأشعرية؟,5,Medium (4-8)
697,متى انقسمت الكاميرون إلى كاميرون فرنسية و أخرى بريطانية؟,9,Long (9+)
701,متى توفي محمد نسيب بن عطاء الله البكري؟,8,Medium (4-8)
716,من هو الشيخ عبد المجيد الزنداني ؟,7,Medium (4-8)
718,ما هو عدد ممالك إسكندنافيا؟,5,Medium (4-8)
719,من هو فلاديمير الأول؟,4,Medium (4-8)
723,كم عدد محافظات أيرلندا؟,4,Medium (4-8)
724,في أي عام أنتج مسلسل سلاحف النينجا؟,7,Medium (4-8)
733,ما هي اللدائن؟,3,Short (1-3)
740,ما نسبة المياه بكوكب الأرض؟,5,Medium (4-8)
746,متى نشأت الشيعة الإثني عشرية ؟,6,Medium (4-8)
747,أين تقع مقاطعة بيسكاي؟,4,Medium (4-8)
750,من هو أبو العلاء المعري؟,5,Medium (4-8)
752,ما هو الرسم الصوري؟,4,Medium (4-8)
759,من هو ألكسندروس الأول (بابا الإسكندرية)؟,6,Medium (4-8)
761,كيف تم إعدام ليون كولغوش؟,5,Medium (4-8)
762,هل تم إقرار قانون المثلية الجنسية في جنوب أفريقيا؟,9,Long (9+)
763,ما هي التنمية المستدامة؟,4,Medium (4-8)
765,من هو شعب الكيخاتشي؟,4,Medium (4-8)
770,ما هى تقرحات الضغط ؟,5,Medium (4-8)
771,ما هي قرينة الانكسار أو معامل الانكسار لوسط ما؟,9,Long (9+)
772,من هي نيلي زاكس؟,4,Medium (4-8)
774,من هو سقراط؟,3,Short (1-3)
785,من هو الفريق الفائز بكاس العالم 1994؟,7,Medium (4-8)
792,من هو جوناثان سويفت؟,4,Medium (4-8)
802,متى بدأت الانتفاضة الفلسطينية الأولى ؟,6,Medium (4-8)
812,أين تقع بحيرة إزنيق؟,4,Medium (4-8)
813,أين تقع مدينة نابولي ؟,5,Medium (4-8)
823,ما هو عدد  أركان الإسلام ؟,6,Medium (4-8)
831,كم عدد القاب البرازيل بكاس العالم؟,6,Medium (4-8)
832,ما هو الكيسُ السَّلوِيّ؟,4,Medium (4-8)
840,من هي المرأة الوحيدة التي تحصل على الميدالية الذهبية في المعرض العالمي الدولي في فيلادلفيا لعام 1876؟,17,Long (9+)
842,ما هي اول دار للنشر في لبنان ؟,8,Medium (4-8)
847,مم يتكون الجهاز العصبي؟,4,Medium (4-8)
849,هل الهند هي منشأ البوذية؟,5,Medium (4-8)
850,متى توفيّ الملك السعودي عبد اللّه؟,6,Medium (4-8)
853,ما هو تعريف علماء الاجتماع والأنثروبولوجيا للدين؟,7,Medium (4-8)
860,ما هو البرنامج المنافس للثري دي ماكس ؟,8,Medium (4-8)
864,في أي عام تم اغتيال الرئيس المصري السابق أنور السادات؟,10,Long (9+)
866,من هو ادوارد دي بونو ؟,6,Medium (4-8)
867,من هو جوزيف هوفمان؟,4,Medium (4-8)
870,من بنى الأهرام بمصر؟,4,Medium (4-8)
875,أين يقع وادي شعيب؟,4,Medium (4-8)
878,من هو جوزيف لوي لاغرانج؟,5,Medium (4-8)
889,هل تم إستخدام الدبابات في الحرب العالمية الأولى؟,8,Medium (4-8)
890,من هو أحمد حسين؟,4,Medium (4-8)
897,في أي عام بدأ تنظيم دوري أبطال أوروبا؟,8,Medium (4-8)
904,ما هو النيزك؟,3,Short (1-3)
911,اين توجد مدينة لينتس؟,4,Medium (4-8)
912,ماهى مساحة مثلث برمودا ؟,5,Medium (4-8)
926,أين درس إيلي صعب تصميم الأزياء؟,6,Medium (4-8)
928,ماهو التطرف ؟,3,Short (1-3)
929,من هو روبرت شومان؟,4,Medium (4-8)
935,ما لون طبقة الأوزون؟,4,Medium (4-8)
940,أين تقع بيروت ؟,4,Medium (4-8)
943,ماهو أشهر مصنع للإسمنت في ليبيا ؟,7,Medium (4-8)
953,من أين تخرج عزمي بشارة ؟,6,Medium (4-8)
958,من مؤسس الإمبراطورية الهابسبورغية ؟,5,Medium (4-8)
960,ما هي عاصمة الكاميرون؟,4,Medium (4-8)
970,من هو أمريكو فسبوتشي؟,4,Medium (4-8)
971,في أي عام تأسست إمارة أنطاكية؟,6,Medium (4-8)
973,هل ولاية تاكسس الامريكية مستقلة ؟,6,Medium (4-8)
976,كم عدد الدول الاعضاء في المفوضية الأوروبية؟,7,Medium (4-8)
979,كم عدد حلقات هزيم الرعد ؟,6,Medium (4-8)
981,من هو جيفري الخامس كونت أنجو؟,6,Medium (4-8)
987,كيف يتكون المطر ؟,4,Medium (4-8)
1007,أين تقع اللاذقية ؟,4,Medium (4-8)
1023,كم استمرت فترة حكم الرئيس التونسي السابق زين العابدين بن علي؟,11,Long (9+)
1030,كم مرة سعت السيدة هاجر زوجة النبي إبراهيم بين الصَّفَا والمَرْوَةُ؟,11,Long (9+)
1031,من رئيس التحريرالحالي لجريدة الحياة ؟,6,Medium (4-8)
1035,من هو امين عام الأمم المتحدة الحالي ؟,8,Medium (4-8)
1044,ما هو الانبعاج أو التحنيب؟,5,Medium (4-8)
1048,متى تم إكتشاف قارة أستراليا؟,5,Medium (4-8)
1049,متى ظهر التداوي بالابر الصينية ؟,6,Medium (4-8)
1051,اين وقعت معركة صفين؟,4,Medium (4-8)
1060,ما هو أكبر القصور الموجودة في العراق؟,7,Medium (4-8)
1062,ما هو اكبر طائر في العالم ؟,7,Medium (4-8)
1064,ماهو جنسية المغنية العالمية نورا جونز؟,6,Medium (4-8)
1070,متى بدأ برنامج الأمم المتحدة الإنمائي؟,6,Medium (4-8)
1075,من هو مصمم كنسية العائلة المقدسة ؟,7,Medium (4-8)
1078,ما هي الكارلية ؟,4,Medium (4-8)
1090,ما هو البرع؟,3,Short (1-3)
1096,ما هو الحجر الاسود ؟,5,Medium (4-8)
1102,متى تم توقيع اتفاق الوحدة اليمنية؟,6,Medium (4-8)
1106,هل تؤدي متلازمة نفق عظم الكَعْب إلى الإحساس بالبرودة أو السخونة في القدم؟,13,Long (9+)
1113,من قام بإنشاء شركة والت ديزني ؟,7,Medium (4-8)
1124,إلى من ينسب التقويم الغريغوري؟,5,Medium (4-8)
1128,ما هو التسلخ التلقائي للشريان التاجي؟,6,Medium (4-8)
1130,من قام بإبتكار النظام الماركسي ؟,6,Medium (4-8)
1133,ما هي أطول الامبراطوريات الأوربية الاستعمارية الحديثة عمرا؟,8,Medium (4-8)
1136,من ابتكر أول مكواة كهربائية ؟,6,Medium (4-8)
1138,من هو الدفتردار؟,3,Short (1-3)
1140,كم عدد مرات فوز المنتخب المصري بكاس امم افريقيا ؟,10,Long (9+)
1143,من أخرج فيلم كفرناحوم؟,4,Medium (4-8)
1144,في أي دوري يلعب فريق أي سي إف فيورنتينا ؟,10,Long (9+)
1148,أين تقع أنطاكيا ؟,4,Medium (4-8)
1151,ما هو مؤشر داو جونز الصناعي؟,6,Medium (4-8)
1153,متى توفي بيير بول ؟,5,Medium (4-8)
1163,هل الرعشة والانتفاضة  من أعراض الملاريا ؟,7,Medium (4-8)
1172,ما هي عاصمة قطر؟,4,Medium (4-8)
1185,أين تقع منطقة الأفلاق؟,4,Medium (4-8)
1194,ما هي منظمة دوكومومو؟,4,Medium (4-8)
1197,ما هي اقدم المدن السورية؟,5,Medium (4-8)
1198,ما هي أقدم الجامعات الكندية؟,5,Medium (4-8)
1207,من هو شارلز ديكنز ؟,5,Medium (4-8)
1225,متى تم اختراع السوشي؟,4,Medium (4-8)
1227,أين يقع ميناء جازان؟,4,Medium (4-8)
1235,ما هي اللاعَقْلانِيّة؟,3,Short (1-3)
1237,متى إنتهت  فترة حكم  الخلفاء الراشدين ؟,7,Medium (4-8)
1238,ما هو الكونغرس الأمريكي؟,4,Medium (4-8)
1239,ما هو الترابط الهيدروجيني؟,4,Medium (4-8)
1240,من هي زنوبيا؟,3,Short (1-3)
1244,من هو مؤلف معجم ما استعجم؟,6,Medium (4-8)
1245,ما هو تاريخ الطبري؟,4,Medium (4-8)
1247,ما مساحة جزيرة  صقلية ؟,5,Medium (4-8)
1251,متى توفي الرئيس ويليام ماكينلي ؟,6,Medium (4-8)
1252,متى ظهرت اللغة السومرية ؟,5,Medium (4-8)
1253,هل إستعمل الفراعنة الرسم في الكتابة الهيروغليفية؟,7,Medium (4-8)
1258,من هو جون دالتون؟,4,Medium (4-8)
1270,هل كريستوفر كولومبوس إيطالي؟,4,Medium (4-8)
1281,"في اي بلد عربي يوجد طبق ""بنت الصحن""؟",8,Medium (4-8)
1282,كيف تتكاثر الخلايا؟,3,Short (1-3)
1284,متى صدر فيلم نيفرلاند ؟,5,Medium (4-8)
1288,كم دامت  الإمبراطورية البيزنطية؟,4,Medium (4-8)
1293,متى ولد الرئيس جمال عبد الناصر؟,6,Medium (4-8)
1296,ما هو علم الأحياء التطوري؟,5,Medium (4-8)
1298,من هو أول طبيب أجرى عملية زرع القلب عند الإنسان ؟,11,Long (9+)
1308,ماهى إراداة شباك تذاكر فيلم التيتانيك ؟,7,Medium (4-8)
1310,من هو زودياك السفاح ؟,5,Medium (4-8)
1320,ما هي محاكم التفتيش؟,4,Medium (4-8)
1327,ما هي  الآيات المكية ؟,5,Medium (4-8)
1333,متي ولد جون برودوس واطسون؟,5,Medium (4-8)
1334,من هو ريالدو كولومبو؟,4,Medium (4-8)
1342,متى تم اطلاق جهاز الماكنتوش لأول مرة؟,7,Medium (4-8)
1354,من هم أول من عمل بقواعد حساب المثلثات؟,8,Medium (4-8)
1357,من هو شمشي أدد الأول؟,5,Medium (4-8)
1360,ما هو عدد محافظات مصر؟,5,Medium (4-8)
1369,في أي عام تأسس مجلس حقوق الإنسان التابع للأمم المتحدة؟,10,Long (9+)
1377,ما معنى مصطلح ولاية الفقيه؟,5,Medium (4-8)
1380,أين يقع النهر الأصفر؟,4,Medium (4-8)
1382,من هي إليزابيث أليكسندرا ماري؟,5,Medium (4-8)
1387,من هم الأموييون ؟,4,Medium (4-8)
1389,ماهي مساحة العراق؟,3,Short (1-3)
1394,متى صدرت أغنية الجليد والنار؟,5,Medium (4-8)
1395,من هو حسين بيكار؟,4,Medium (4-8)
1397,كم يبلغ نصف قطر الشمس ؟,6,Medium (4-8)
1402,هل يحتوي الحمص على  البروتين  ؟,6,Medium (4-8)
1404,ماهي الديانات التوحيدية الثلاث؟,4,Medium (4-8)
1406,ما هي الجذور الحرة؟,4,Medium (4-8)
1409,ما هي المنطقة في الدماغ المسئولة عن اللغة ؟,9,Long (9+)
1411,من هو والد الملكة إيزابيل الثانية ؟,7,Medium (4-8)
1412,في أي عام تأسس المرصد الأورومتوسطي لحقوق الإنسان؟,8,Medium (4-8)
1415,متى ولد عبد الرحمن الكواكبي ؟,6,Medium (4-8)
1416,ما هوحمض المالييك؟,3,Short (1-3)
1421,ما هي السالمونيلا؟,3,Short (1-3)
1422,ما هو مولد الضد؟,4,Medium (4-8)
1427,ماهو إسم الأصباغ التي تلون الجلد ؟,7,Medium (4-8)
1433,ما هي المن أو قملة النبات؟,6,Medium (4-8)
1439,متى بني المسجد الحسيني في الأردن؟,6,Medium (4-8)
1445,ما هو هيكل سليمان؟,4,Medium (4-8)
1450,ما هو الاسطرلاب ؟,4,Medium (4-8)
1452,متى توفي الرئيس السوري السابق شكري القوتلي؟,7,Medium (4-8)
1459,متى وقعت حرب الكونغو الأولى؟,5,Medium (4-8)
1461,هل يرتبط العنف الأسري بالإكتئاب ؟,6,Medium (4-8)
1463,"ما هي ""الام الحنون""؟",4,Medium (4-8)
1466,كيف يستعمل مؤشر سهولة ممارسة الأعمال ؟,7,Medium (4-8)
1485,متى أحدث أول مقهى لستاربكس عربياً؟,6,Medium (4-8)
1487,هل الإستعمار الفرنسي للمغرب العربي هو استعمار ثقافي وإمبريالي ثقافي ؟,11,Long (9+)
1488,من بشر بالمسيحية في إنجلترا ؟,6,Medium (4-8)
1490,متى انتزع العثمانيون حكم بغداد من الصفويون ؟,8,Medium (4-8)
1502,هل تستخدم لقاحات الحمض النووي علاج الأمراض؟,7,Medium (4-8)
1506,متى عاش محمد بن طغج الإخشيد؟,6,Medium (4-8)
1510,ما هي عاصمة منطقة عسير؟,5,Medium (4-8)
1515,متى تشكل حزب العدالة والبناء ؟,6,Medium (4-8)
1520,ما هي شفعيات الأصابع؟,4,Medium (4-8)
1526,ما هي المركزية ؟,4,Medium (4-8)
1534,ما هي الملكية الدستورية ؟,5,Medium (4-8)
1535,في أي عام حكمت سلطات مكافحة التجسس السورية على إيلي كوهين بالإعدام ؟,13,Long (9+)
1543,متى توفي جان بياجيه؟,4,Medium (4-8)
1544,من هو مؤلف رواية كوابيس بيروت؟,6,Medium (4-8)
1546,ما هي الأسطورة؟,3,Short (1-3)
1549,أين تقع الأرجنتين؟,3,Short (1-3)
1567,ما هي البكتيريا العصوية؟,4,Medium (4-8)
1569,متى تولى الرئيس الأمريكي أبراهام لينكون رئاسة الولايات المتحدة الأميركية؟,10,Long (9+)
1579,"متى صدر المسلسل الامريكي ""بريكنج باد""؟",6,Medium (4-8)
1584,في أي مقاطعة أمريكية تقع هوليوود؟,6,Medium (4-8)
1586,كم تبلغ درجة ملوحة البحر الميت ؟,7,Medium (4-8)
1590,ما هي الأنيميا؟,3,Short (1-3)
1591,ما هي عملية القلب المفتوح ؟,6,Medium (4-8)
1594,أين ولد بيلا لوغوسي ؟,5,Medium (4-8)
1595,من هو برويز مشرف؟,4,Medium (4-8)
1600,كيف توفي بيل پاكستون ؟,5,Medium (4-8)
1603,اين يوجد لواء اسكندرون؟,4,Medium (4-8)
1604,ما هي طوبولوجيا شبكة وكيل؟,5,Medium (4-8)
1616,متى تم اختفاء موسى الصدر في ليبيا؟,7,Medium (4-8)
1618,ما هو جهاز اللولب؟,4,Medium (4-8)
1623,ما هي الكنيسة المعمدانية؟,4,Medium (4-8)
1626,من هو ابو فراس الحمداني؟,5,Medium (4-8)
1627,ما هي الآية قرانية التي لا تبدأ بالبسملة؟,8,Medium (4-8)
1635,هل كان أبراهام لينكون من أتباع الحزب الجمهوري؟,8,Medium (4-8)
1645,ماهو تعداد سكان جرينلاند ؟,5,Medium (4-8)
1647,كم يبلغ طول سور الصين العظيم ؟,7,Medium (4-8)
1648,أين يقع معبر رفح ؟,5,Medium (4-8)
1658,ما هي جنسية سيغموند فرويد؟,5,Medium (4-8)
1661,أين يعيش ضفدع السهم السام؟,5,Medium (4-8)
1666,من هو خيرت فيلدرز ؟,5,Medium (4-8)
1676,اين ولد جلال الدين الرومي؟,5,Medium (4-8)
1678,ما هي نظرية الكون المتعدد ؟,6,Medium (4-8)
1681,ما معنى مصطلح الجاهلية في الإسلام؟,6,Medium (4-8)
1686,هل الهندوسية ديانة إبراهيمية ؟,5,Medium (4-8)
1702,ما أبرز دولة قادت قوات دول المحورفي الحرب العالمية الثانية؟,10,Long (9+)
1703,ما هي أقرب المجرات لمجرتنا؟,5,Medium (4-8)
1710,اين يوجد معبد ابو سمبل؟,5,Medium (4-8)
1721,ما هو السفر رقم 12 في التوراة؟,7,Medium (4-8)
1725,من هو اول والي مملوكي حكم بغداد ؟,8,Medium (4-8)
1736,من هو العالم المسلم الذي كان يلقب ب بطليموس العرب؟,10,Long (9+)
1741,متى تأسست الجمعية العامة للأمم المتحدة ؟,7,Medium (4-8)
1745,ما هى الأعداد الطبيعية ؟,5,Medium (4-8)
1750,من هم عرب 48 ؟,5,Medium (4-8)
1761,أين تقع مدينة ماينتس؟,4,Medium (4-8)
1763,"من هو مؤلف رواية ""روبنسون كروزو؟",6,Medium (4-8)
1769,ما هو الحجاب في الثقافة الإسلامية؟,6,Medium (4-8)
1775,كيف إنتشرة الديانة المسيحية في شمال أفريقيا؟,7,Medium (4-8)
1778,اين سكن النوبيون قديما؟,4,Medium (4-8)
1793,أين تقع البرتغال ؟,4,Medium (4-8)
1796,"من هو مخرج فيلم ""انقاذ الجندي رايان""؟",7,Medium (4-8)
1797,ما أكبر نهر يمرّ على كينيا؟,6,Medium (4-8)
1798,ماهو تعداد سكان برلين ؟,5,Medium (4-8)
1800,من أسّس القاهرة؟,3,Short (1-3)
1808,متى تأسس حزب العمال البريطانى ؟,6,Medium (4-8)
1810,من هو مؤلف رواية الرهينة؟,5,Medium (4-8)
1811,متى توفي الشاعر سليمان العيسى ؟,6,Medium (4-8)
1812,أين يقع اقليم كردستان؟,4,Medium (4-8)
1815,هل شاركت اليابان في الحرب العالمية الأولى؟,7,Medium (4-8)
1816,من أين يفرز الهرمون البيبتيدي؟,5,Medium (4-8)
1827,من هو عبد الكريم الإرياني؟,5,Medium (4-8)
1835,أين يصّنع محرّك سي اف ام 56؟,7,Medium (4-8)
1839,من هي والدة الإمبراطور الروماني قسطنطين الكبير؟,7,Medium (4-8)
1844,كم عدد المسلمين في العالم؟,5,Medium (4-8)
1847,هل يمكن علاج داء الكلب ؟,6,Medium (4-8)
1861,من هو رئيس تركمانستان لعام 2007 ؟,7,Medium (4-8)
1866,هل أغلب مسيحيو روسيا هم من الروم الأرثوذكس؟,8,Medium (4-8)
1869,ما هو أصل كلمة تكنولوجيا؟,5,Medium (4-8)
1870,متي إستقلت ماليزيا ؟,4,Medium (4-8)
1872,هل خنازير البحرنوع من الحيتان؟,5,Medium (4-8)
1874,ماذا تسمى عملية تحويل الغاز إلى سائل ؟,8,Medium (4-8)
1875,من هو شارل كونت فالوا؟,5,Medium (4-8)
1876,من هو أول رئيس للولايات المتحدة؟,6,Medium (4-8)
1888,متى توفي آليستر كراولي ؟,5,Medium (4-8)
1890,متى تأسست مدرسة طُليطلة ؟,5,Medium (4-8)
1891,متى تأسست مجلة فوربس؟,4,Medium (4-8)
1895,متي تأسسة شركة بيكسار ؟,5,Medium (4-8)
1899,متى وصلت الديانة المسيحية إلى آيرلندا ؟,7,Medium (4-8)
1900,ما هو مرض السكري؟,4,Medium (4-8)
1905,لأي شعبة ينتمي الجندب؟,4,Medium (4-8)
1912,متى سقطت غرناطة ؟,4,Medium (4-8)
1913,في أي عام  تأسس الاتحاد الأفريقى لكرة القدم؟,8,Medium (4-8)
1931,متى برهن ستيفن هوكينغ نظرياً على وجود إشعاع حراري صادر عن الثقوب السوداء؟,13,Long (9+)
1933,من هو مؤسس مؤسسة المشاع الإبداعي ؟,7,Medium (4-8)
1939,هل يؤدي ارتفاع نسبة الفلورايد في الماء إلى الضرر بالأسنان؟,10,Long (9+)
1940,ما هو البحر الذي تطل عليه مدينة بيروت؟,8,Medium (4-8)
1946,متى تم إصدار أول نظام تشغيل ويندوز ؟,8,Medium (4-8)
1949,متى تأسست شركة يوروكوبتر؟,4,Medium (4-8)
1955,متى ولد أنور خليل خوجة ؟,6,Medium (4-8)
1959,متى تم إنشاء مفاعل ديمونة الاسرائيلي؟,6,Medium (4-8)
1963,هل هناك شكل خاص للدنا يشبه دبوس الشعر؟,8,Medium (4-8)
1966,اين توجد مدينة الزرقاء؟,4,Medium (4-8)
1967,هل الجسيمات المضادة تنتج بشكل طبيعي من تحلل بيتا؟,9,Long (9+)
1971,ما هو لون معدن البلاتين؟,5,Medium (4-8)
1984,متى أقيمت مراسم زفاف الأمير ويليام وكاثرين ميدلتون ؟,9,Long (9+)
1990,من هو رينيه ديكارت؟,4,Medium (4-8)
1995,من رئيس مجلس الأمن لدى الأمم المتحدة حاليا؟,8,Medium (4-8)
1998,متى بدأة حرب السيطرة علي جزيرة القرم ؟,8,Medium (4-8)
